Territorialidade,Posição IDHM no Brasil,IDHM,Posição IDHM Renda,IDHM Renda,Posição IDHM Educação,IDHM Educação,Posição IDHM Longevidade,IDHM Longevidade,
Florianópolis (SC),3,0.848,5,0.870,5,0.800,147,0.873,
Balneário Camboriú (SC),4,0.846,10,0.854,6,0.789,1,0.894,
Joaçaba (SC),8,0.828,31,0.823,15,0.771,7,0.891,
Curitiba (PR),10,0.824,11,0.850,17,0.768,551,0.855,
São José (SC),21,0.810,57,0.799,42,0.752,83,0.880,
Joinville (SC),21,0.811,64,0.795,53,0.749,15,0.889,
Maringá (PR),23,0.809,44,0.806,17,0.768,643,0.852,
Rio Fortuna (SC),25,0.808,13,0.848,135,0.727,722,0.850,
Blumenau (SC),25,0.809,37,0.812,162,0.722,1,0.894,
Porto Alegre (RS),28,0.805,6,0.867,331,0.702,501,0.857,
Jaraguá do Sul (SC),34,0.804,70,0.793,36,0.755,303,0.865,
Rio do Sul (SC),36,0.805,70,0.793,135,0.727,1,0.894,
São Miguel do Oeste (SC),37,0.803,93,0.787,82,0.739,55,0.884,
Concórdia (SC),40,0.802,151,0.777,35,0.756,169,0.872,
Tubarão (SC),53,0.798,87,0.788,75,0.740,276,0.866,
Itapema (SC),53,0.799,87,0.788,135,0.727,77,0.881,
Carlos Barbosa (RS),53,0.796,23,0.835,151,0.724,1419,0.835,
Treze Tílias (SC),56,0.799,21,0.838,527,0.685,135,0.874,
Brusque (SC),56,0.798,66,0.794,269,0.707,1,0.894,
Itajaí (SC),56,0.797,141,0.778,122,0.730,55,0.884,
Iomerê (SC),56,0.798,349,0.754,53,0.749,7,0.891,
Quatro Pontes (PR),62,0.792,78,0.790,59,0.748,1281,0.838,
Ipiranga do Sul (RS),62,0.791,34,0.818,374,0.698,276,0.866,
Três Arroios (RS),62,0.791,15,0.843,483,0.689,702,0.851,
Chapecó (SC),67,0.792,137,0.779,135,0.727,181,0.871,
Luzerna (SC),71,0.792,125,0.781,179,0.718,110,0.877,
Lagoa dos Três Cantos (RS),71,0.789,232,0.765,39,0.754,643,0.852,
Criciúma (SC),76,0.790,97,0.786,97,0.737,901,0.846,
Porto União (SC),87,0.789,375,0.752,151,0.724,7,0.891,
Garibaldi (RS),87,0.786,28,0.825,495,0.688,527,0.856,
Nova Araçá (RS),92,0.785,61,0.796,162,0.722,1032,0.843,
Casca (RS),92,0.785,141,0.778,107,0.733,846,0.847,
Timbó (SC),100,0.787,41,0.807,389,0.697,527,0.856,
Salto Veloso (SC),100,0.788,141,0.778,293,0.705,83,0.880,
Santa Maria (RS),100,0.784,64,0.795,205,0.715,792,0.848,
Ivoti (RS),100,0.784,132,0.78,125,0.729,792,0.848,
Pinhalzinho (SC),110,0.787,303,0.758,193,0.716,22,0.886,
Horizontina (RS),110,0.783,116,0.782,193,0.716,473,0.858,
Pato Branco (PR),113,0.784,141,0.778,127,0.728,943,0.845,
Cascavel (PR),113,0.783,155,0.776,127,0.728,901,0.846,
São Bento do Sul (SC),113,0.784,252,0.763,172,0.719,181,0.871,
Caxias do Sul (RS),113,0.782,37,0.812,516,0.686,425,0.86,
Lacerdópolis (SC),119,0.785,252,0.763,257,0.708,64,0.883,
Maravilha (SC),119,0.784,303,0.758,257,0.708,22,0.886,
Bombinhas (SC),119,0.783,360,0.753,114,0.732,319,0.864,
Santo Amaro da Imperatriz (SC),119,0.784,360,0.753,239,0.710,11,0.890,
Ijuí (RS),119,0.781,97,0.786,269,0.707,473,0.858,
Pomerode (SC),128,0.784,132,0.780,505,0.687,22,0.886,
Corupá (SC),128,0.783,202,0.768,269,0.707,147,0.873,
Braço do Trombudo (SC),128,0.784,223,0.766,331,0.702,64,0.883,
Cocal do Sul (SC),128,0.782,478,0.747,75,0.740,451,0.859,
Nova Petrópolis (RS),128,0.78,162,0.775,495,0.688,11,0.89,
Vista Alegre do Prata (RS),128,0.78,39,0.809,450,0.692,846,0.847,
Seara (SC),141,0.783,48,0.804,668,0.674,169,0.872,
Londrina (PR),145,0.779,83,0.789,223,0.712,1315,0.837,
Braço do Norte (SC),145,0.781,494,0.746,193,0.716,77,0.881,
Bento Gonçalves (RS),145,0.778,46,0.805,416,0.695,1075,0.842,
Nova Bréscia (RS),145,0.778,22,0.836,768,0.666,846,0.847,
Lajeado (RS),145,0.778,61,0.796,305,0.704,1183,0.84,
Indaial (SC),157,0.780,213,0.767,344,0.701,147,0.873,
Pinheiro Preto (SC),157,0.780,266,0.762,223,0.712,276,0.866,
Mafra (SC),157,0.780,639,0.738,155,0.723,83,0.880,
Farroupilha (RS),157,0.777,112,0.783,404,0.696,390,0.861,
Victor Graeff (RS),157,0.777,166,0.774,162,0.722,1183,0.84,
Selbach (RS),157,0.777,105,0.785,239,0.71,1128,0.841,
Sarandi (RS),157,0.777,155,0.776,293,0.705,473,0.858,
Passo Fundo (RS),168,0.776,93,0.787,364,0.699,759,0.849,
Erechim (RS),168,0.776,116,0.782,193,0.716,1515,0.833,
Itapiranga (SC),178,0.777,223,0.766,155,0.723,1075,0.842,
Xanxerê (SC),178,0.777,291,0.760,232,0.711,390,0.861,
Trombudo Central (SC),178,0.779,291,0.760,404,0.696,83,0.880,
Marechal Cândido Rondon (PR),185,0.776,116,0.782,305,0.704,1075,0.842,
Francisco Beltrão (PR),185,0.776,303,0.758,142,0.726,986,0.844,
Ouro (SC),185,0.778,166,0.774,620,0.677,55,0.884,
Siderópolis (SC),185,0.777,398,0.751,344,0.701,83,0.880,
Massaranduba (SC),185,0.777,435,0.749,212,0.714,257,0.867,
Treviso (SC),185,0.778,665,0.737,212,0.714,70,0.882,
Marau (RS),185,0.774,175,0.773,364,0.699,501,0.857,
Serra Alta (SC),197,0.777,303,0.758,431,0.694,94,0.879,
Veranópolis (RS),197,0.773,59,0.797,450,0.692,1281,0.838,
Paraí (RS),197,0.773,93,0.787,593,0.679,276,0.866,
Santa Cruz do Sul (RS),197,0.773,116,0.782,442,0.693,643,0.852,
Urussanga (SC),210,0.776,321,0.756,416,0.695,118,0.876,
Aratiba (RS),210,0.772,50,0.801,719,0.67,527,0.856,
Santo Ângelo (RS),210,0.772,232,0.765,404,0.696,343,0.863,
Lajeado Grande (SC),220,0.773,415,0.750,223,0.712,473,0.858,
Itá (SC),220,0.775,478,0.747,374,0.698,94,0.879,
Presidente Castello Branco (SC),227,0.778,36,0.813,1248,0.637,64,0.883,
Lages (SC),227,0.773,335,0.755,389,0.697,257,0.867,
Armazém (SC),227,0.774,548,0.743,374,0.698,70,0.882,
São Carlos (SC),238,0.773,252,0.763,495,0.688,257,0.867,
Schroeder (SC),238,0.772,415,0.750,239,0.710,551,0.855,
Santa Rosa (RS),238,0.769,375,0.752,442,0.693,181,0.871,
Arroio do Meio (RS),238,0.769,415,0.75,282,0.706,425,0.86,
Palotina (PR),249,0.771,291,0.760,483,0.689,319,0.864,
Toledo (PR),249,0.771,335,0.755,331,0.702,551,0.855,
Maracajá (SC),249,0.771,375,0.752,364,0.699,390,0.861,
Nova Veneza (SC),249,0.771,580,0.741,318,0.703,222,0.869,
Nova Boa Vista (RS),249,0.768,241,0.764,257,0.708,1370,0.836,
Três Passos (RS),249,0.768,517,0.745,239,0.71,473,0.858,
São Marcos (RS),249,0.768,162,0.775,548,0.683,551,0.855,
Dois Vizinhos (PR),265,0.769,478,0.747,232,0.711,722,0.850,
Capivari de Baixo (SC),265,0.770,937,0.724,193,0.716,204,0.870,
Novo Xingu (RS),265,0.767,435,0.749,257,0.708,722,0.85,
Encantado (RS),265,0.767,241,0.764,505,0.687,473,0.858,
Estrela (RS),265,0.767,155,0.776,538,0.684,722,0.85,
Ivatuba (PR),274,0.768,1091,0.718,59,0.748,1315,0.837,
Peritiba (SC),274,0.771,266,0.762,731,0.669,70,0.882,
Capivari do Sul (RS),274,0.766,46,0.805,738,0.668,1370,0.836,
Carazinho (RS),274,0.766,321,0.756,269,0.707,1183,0.84,
Nova Prata (RS),274,0.766,116,0.782,516,0.686,1238,0.839,
Santiago (RS),274,0.766,494,0.746,560,0.682,70,0.882,
Gaspar (SC),289,0.771,190,0.770,945,0.655,15,0.889,
São Domingos (SC),289,0.768,194,0.769,648,0.675,390,0.861,
Nova Erechim (SC),289,0.768,213,0.767,516,0.686,702,0.851,
Imbituba (SC),289,0.768,739,0.734,318,0.703,238,0.868,
Ibirubá (RS),289,0.765,97,0.786,708,0.671,792,0.848,
Guaporé (RS),289,0.765,125,0.781,527,0.685,1315,0.837,
Colinas (RS),289,0.765,97,0.786,606,0.678,1183,0.84,
Espumoso (RS),289,0.765,478,0.747,620,0.677,55,0.884,
Não-Me-Toque (RS),289,0.765,106,0.784,686,0.673,846,0.847,
Arroio Trinta (SC),304,0.769,125,0.781,982,0.653,147,0.873,
Videira (SC),304,0.768,179,0.772,648,0.675,501,0.857,
Santo Antônio do Palma (RS),304,0.764,93,0.787,787,0.665,610,0.853,
Cerro Largo (RS),304,0.764,375,0.752,374,0.698,759,0.849,
Rondinha (RS),304,0.764,132,0.78,606,0.678,1075,0.842,
Gramado (RS),304,0.764,112,0.783,829,0.662,390,0.861,
Montauri (RS),304,0.764,78,0.79,829,0.662,643,0.852,
Imbé (RS),304,0.764,28,0.825,1232,0.638,846,0.847,
São Valentim do Sul (RS),304,0.764,155,0.776,620,0.677,792,0.848,
Medianeira (PR),320,0.766,266,0.762,516,0.686,759,0.849,
Ponta Grossa (PR),320,0.765,335,0.755,318,0.703,1315,0.837,
Paranavaí (PR),320,0.766,415,0.750,318,0.703,986,0.844,
Fagundes Varela (RS),320,0.763,175,0.773,668,0.674,643,0.852,
São Pedro do Butiá (RS),320,0.763,291,0.76,431,0.694,1032,0.843,
Barra Funda (RS),320,0.763,805,0.731,239,0.71,527,0.856,
São Domingos do Sul (RS),320,0.763,132,0.78,581,0.68,1238,0.839,
Serranópolis do Iguaçu (PR),335,0.766,141,0.778,829,0.662,451,0.859,
São Francisco do Sul (SC),335,0.765,596,0.740,364,0.699,527,0.856,
Boa Vista do Buricá (RS),335,0.762,281,0.761,389,0.697,1464,0.834,
David Canabarro (RS),335,0.762,596,0.74,495,0.688,204,0.87,
Saldanha Marinho (RS),335,0.762,517,0.745,282,0.706,1128,0.841,
Torres (RS),335,0.762,415,0.75,527,0.685,372,0.862,
Entre Rios do Oeste (PR),350,0.763,141,0.778,516,0.686,1846,0.826,
Umuarama (PR),350,0.763,335,0.755,374,0.698,1370,0.836,
São João do Oeste (SC),350,0.766,321,0.756,738,0.668,147,0.873,
Zortéa (SC),350,0.766,375,0.752,849,0.661,40,0.885,
Taió (SC),350,0.766,435,0.749,719,0.670,94,0.879,
Itapoá (SC),350,0.765,621,0.739,560,0.682,135,0.874,
Vila Maria (RS),350,0.761,75,0.791,802,0.664,1238,0.839,
Panambi (RS),350,0.761,375,0.752,465,0.691,792,0.848,
Nova Pádua (RS),350,0.761,266,0.762,606,0.678,643,0.852,
Rio Negro (PR),366,0.763,1008,0.721,293,0.705,343,0.863,
Modelo (SC),366,0.765,398,0.751,883,0.659,22,0.886,
Porto Belo (SC),366,0.765,415,0.750,870,0.660,22,0.886,
Tijucas (SC),366,0.764,478,0.747,697,0.672,147,0.873,
Araranguá (SC),366,0.763,517,0.745,465,0.691,610,0.853,
Campinas do Sul (RS),366,0.76,360,0.753,465,0.691,1075,0.842,
Tapejara (RS),366,0.76,252,0.763,495,0.688,1315,0.837,
Itaara (RS),366,0.76,281,0.761,505,0.687,1128,0.841,
Serafina Corrêa (RS),366,0.76,335,0.755,474,0.69,1032,0.843,
Frederico Westphalen (RS),366,0.76,349,0.754,495,0.688,901,0.846,
Cornélio Procópio (PR),383,0.762,494,0.746,450,0.692,792,0.848,
Presidente Getúlio (SC),383,0.764,241,0.764,966,0.654,135,0.874,
Iporã do Oeste (SC),383,0.762,548,0.743,416,0.695,846,0.847,
Santo Antônio do Planalto (RS),383,0.759,1547,0.701,293,0.705,40,0.885,
Nova Candelária (RS),383,0.759,66,0.794,1133,0.643,527,0.856,
Três de Maio (RS),383,0.759,321,0.756,431,0.694,1464,0.834,
São José dos Pinhais (PR),400,0.762,435,0.749,606,0.678,451,0.859,
Maripá (PR),400,0.762,692,0.736,538,0.684,276,0.866,
Nova Londrina (PR),400,0.761,715,0.735,465,0.691,527,0.856,
Iguaraçu (PR),400,0.760,1190,0.714,114,0.732,1515,0.833,
Faxinal dos Guedes (SC),400,0.762,494,0.746,634,0.676,343,0.863,
Herval D'Oeste (SC),400,0.761,596,0.740,538,0.684,451,0.859,
Piratuba (SC),400,0.760,692,0.736,212,0.714,1704,0.829,
Colorado (RS),400,0.758,162,0.775,668,0.674,1419,0.835,
Picada Café (RS),400,0.758,639,0.738,344,0.701,1075,0.842,
Antônio Prado (RS),400,0.758,151,0.777,708,0.671,1419,0.835,
Guabiju (RS),400,0.758,25,0.831,1727,0.612,501,0.857,
Campo Mourão (PR),420,0.760,435,0.749,483,0.689,1128,0.841,
Palhoça (SC),420,0.761,375,0.752,697,0.672,451,0.859,
Gravatal (SC),420,0.761,897,0.726,573,0.681,110,0.877,
Santa Rosa de Lima (SC),420,0.760,897,0.726,239,0.710,1032,0.843,
Canoinhas (SC),420,0.761,1111,0.717,450,0.692,135,0.874,
Vanini (RS),420,0.757,692,0.736,305,0.704,1370,0.836,
Estância Velha (RS),420,0.757,435,0.749,995,0.652,19,0.887,
Cachoeirinha (RS),420,0.757,435,0.749,648,0.675,501,0.857,
Chapada (RS),420,0.757,375,0.752,593,0.679,759,0.849,
Presidente Lucena (RS),420,0.757,870,0.727,668,0.674,40,0.885,
Vista Gaúcha (RS),420,0.757,166,0.774,731,0.669,1238,0.839,
Dois Lajeados (RS),420,0.757,162,0.775,719,0.67,1315,0.837,
Balneário Piçarras (SC),440,0.761,517,0.745,738,0.668,222,0.869,
Quinze de Novembro (RS),440,0.756,112,0.783,945,0.655,1128,0.841,
Fortaleza dos Valos (RS),440,0.756,137,0.779,815,0.663,1315,0.837,
Cianorte (PR),453,0.758,478,0.747,527,0.685,1128,0.841,
São Ludgero (SC),453,0.758,321,0.756,548,0.683,1464,0.834,
Orleans (SC),453,0.760,435,0.749,914,0.657,147,0.873,
Alto Bela Vista (SC),453,0.760,739,0.734,802,0.664,70,0.882,
Saudades (SC),453,0.758,961,0.723,355,0.700,722,0.850,
Montenegro (RS),453,0.755,281,0.761,966,0.654,276,0.866,
São José do Ouro (RS),453,0.755,297,0.759,731,0.669,901,0.846,
Cunhataí (SC),467,0.762,151,0.777,1535,0.623,22,0.886,
Rodeio (SC),467,0.761,194,0.769,1473,0.626,15,0.889,
Rio do Oeste (SC),467,0.762,194,0.769,1492,0.625,6,0.892,
Guabiruba (SC),467,0.760,415,0.750,982,0.653,118,0.876,
Constantina (RS),467,0.754,897,0.726,738,0.668,40,0.885,
Flores da Cunha (RS),467,0.754,97,0.786,1157,0.642,759,0.849,
Esteio (RS),467,0.754,194,0.769,829,0.662,1032,0.843,
São Vendelino (RS),467,0.754,548,0.743,620,0.677,643,0.852,
Forquilhinha (SC),488,0.757,349,0.754,914,0.657,390,0.861,
Rancho Queimado (SC),488,0.760,548,0.743,1112,0.644,5,0.893,
Garopaba (SC),488,0.758,665,0.737,738,0.668,238,0.868,
Nicolau Vergueiro (RS),488,0.753,179,0.772,870,0.66,1238,0.839,
Estação (RS),488,0.753,375,0.752,668,0.674,1032,0.843,
Salvador das Missões (RS),488,0.753,1293,0.71,282,0.706,702,0.851,
Ajuricaba (RS),488,0.753,252,0.763,898,0.658,722,0.85,
Enéas Marques (PR),508,0.755,213,0.767,802,0.664,1419,0.835,
Pranchita (PR),508,0.753,548,0.743,404,0.696,2112,0.821,
Capinzal (SC),508,0.757,565,0.742,883,0.659,222,0.869,
Xaxim (SC),508,0.757,665,0.737,829,0.662,181,0.871,
Tunápolis (SC),508,0.754,848,0.728,305,0.704,1647,0.830,
Laguna (SC),508,0.756,1166,0.715,560,0.682,181,0.871,
Westfalia (RS),508,0.752,61,0.796,1395,0.63,759,0.849,
Severiano de Almeida (RS),508,0.752,639,0.738,719,0.67,390,0.861,
Monte Belo do Sul (RS),508,0.752,375,0.752,815,0.663,643,0.852,
Pinhais (PR),526,0.754,281,0.761,768,0.666,1370,0.836,
Foz do Iguaçu (PR),526,0.756,462,0.748,849,0.661,473,0.858,
Mandaguari (PR),526,0.754,784,0.732,483,0.689,1183,0.840,
Guaraciaba (SC),526,0.757,349,0.754,1082,0.646,181,0.871,
Guaramirim (SC),526,0.758,462,0.748,1176,0.641,40,0.885,
Planalto Alegre (SC),526,0.757,805,0.731,883,0.659,77,0.881,
Sertão (RS),526,0.751,494,0.746,606,0.678,1315,0.837,
Osório (RS),526,0.751,194,0.769,1082,0.646,610,0.853,
Paranaguá (PR),551,0.754,765,0.733,634,0.676,643,0.852,
Feliz (RS),551,0.75,303,0.758,898,0.658,846,0.847,
Água Santa (RS),551,0.75,18,0.84,2157,0.59,722,0.85,
Cruz Alta (RS),551,0.75,349,0.754,982,0.653,473,0.858,
Canoas (RS),551,0.75,202,0.768,1271,0.636,319,0.864,
Xavantina (SC),562,0.755,179,0.772,1350,0.632,390,0.861,
Antônio Carlos (SC),562,0.758,202,0.768,1687,0.615,11,0.890,
São Lourenço do Oeste (SC),562,0.750,462,0.748,416,0.695,2805,0.807,
Laurentino (SC),562,0.753,565,0.742,829,0.662,551,0.855,
Pareci Novo (RS),562,0.749,639,0.738,738,0.668,643,0.852,
Linha Nova (RS),562,0.749,398,0.751,829,0.662,901,0.846,
Harmonia (RS),562,0.749,462,0.748,738,0.668,1128,0.841,
Arapongas (PR),583,0.751,398,0.751,731,0.669,1464,0.834,
Apucarana (PR),583,0.751,580,0.741,738,0.668,943,0.845,
Cafelândia (PR),583,0.750,961,0.723,450,0.692,1419,0.835,
Miraselva (PR),583,0.752,1768,0.694,269,0.707,581,0.854,
Ituporanga (SC),583,0.754,435,0.749,1232,0.638,118,0.876,
Nova Trento (SC),583,0.756,435,0.749,1433,0.628,7,0.891,
Mondaí (SC),583,0.753,848,0.728,914,0.657,128,0.875,
Canela (RS),583,0.748,639,0.738,758,0.667,759,0.849,
São João do Polêsine (RS),583,0.748,462,0.748,849,0.661,846,0.847,
Barão (RS),583,0.748,213,0.767,995,0.652,1370,0.836,
Astorga (PR),599,0.749,349,0.754,648,0.675,2259,0.818,
Pato Bragado (PR),599,0.749,517,0.745,431,0.694,2805,0.807,
Jandaia do Sul (PR),599,0.748,580,0.741,318,0.703,3077,0.801,
Governador Celso Ramos (SC),599,0.753,665,0.737,1010,0.651,204,0.870,
Cordilheira Alta (SC),599,0.751,715,0.735,829,0.662,551,0.855,
Charqueadas (RS),599,0.747,897,0.726,883,0.659,204,0.87,
Alto Alegre (RS),599,0.747,321,0.756,1157,0.642,451,0.859,
Tapera (RS),599,0.747,548,0.743,697,0.672,1419,0.835,
Teutônia (RS),599,0.747,398,0.751,1020,0.65,551,0.855,
São José do Inhacorá (RS),599,0.747,961,0.723,331,0.702,2064,0.822,
Tucunduva (RS),599,0.747,462,0.748,560,0.682,2357,0.816,
Condor (RS),599,0.747,715,0.735,768,0.666,643,0.852,
Sananduva (RS),599,0.747,241,0.764,1068,0.647,1032,0.843,
Novo Hamburgo (RS),599,0.747,141,0.778,1416,0.629,643,0.852,
Nova Bassano (RS),599,0.747,141,0.778,1350,0.632,759,0.849,
Paraíso do Norte (PR),628,0.748,375,0.752,738,0.668,1905,0.825,
Doutor Camargo (PR),628,0.748,1449,0.704,331,0.702,1238,0.839,
Itambé (PR),628,0.749,1858,0.691,318,0.703,581,0.854,
Balneário Arroio do Silva (SC),628,0.751,360,0.753,1157,0.642,473,0.858,
Capitão (RS),628,0.746,478,0.747,849,0.661,1075,0.842,
Getúlio Vargas (RS),628,0.746,478,0.747,898,0.658,1032,0.843,
Coqueiros do Sul (RS),628,0.746,44,0.806,1703,0.614,1183,0.84,
Muçum (RS),628,0.746,316,0.757,966,0.654,1183,0.84,
Mato Leitão (RS),628,0.746,1008,0.721,634,0.676,610,0.853,
Santa Tereza (RS),628,0.746,232,0.765,1248,0.637,610,0.853,
Bom Princípio (RS),628,0.746,398,0.751,849,0.661,1370,0.836,
Floraí (PR),648,0.749,621,0.739,930,0.656,610,0.853,
Campo Largo (PR),648,0.749,817,0.730,802,0.664,581,0.854,
Águas Frias (SC),648,0.750,848,0.728,849,0.661,425,0.860,
Bozano (RS),648,0.745,175,0.773,1433,0.628,610,0.853,
Campo Bom (RS),648,0.745,335,0.755,1133,0.643,643,0.852,
Santa Helena (PR),667,0.746,639,0.738,606,0.678,1987,0.823,
Lobato (PR),667,0.747,1346,0.708,450,0.692,1128,0.841,
Barra do Jacaré (PR),667,0.746,2212,0.678,65,0.747,2504,0.813,
Salete (SC),667,0.745,665,0.737,416,0.695,2990,0.803,
Coronel Freitas (SC),667,0.748,784,0.732,982,0.653,425,0.860,
Coronel Barros (RS),667,0.744,70,0.793,1766,0.61,643,0.852,
Poço das Antas (RS),667,0.744,565,0.742,1308,0.634,110,0.877,
Rio Grande (RS),667,0.744,375,0.752,1248,0.637,390,0.861,
Nova Palma (RS),667,0.744,266,0.762,1133,0.643,1128,0.841,
Uruguaiana (RS),667,0.744,989,0.722,849,0.661,343,0.863,
Matinhos (PR),695,0.746,548,0.743,829,0.662,1464,0.834,
Jacarezinho (PR),695,0.747,739,0.734,815,0.663,986,0.844,
São Jorge do Ivaí (PR),695,0.744,870,0.727,404,0.696,2661,0.810,
Jaguariaíva (PR),695,0.747,1649,0.698,538,0.684,451,0.859,
Marema (SC),695,0.749,462,0.748,1271,0.636,372,0.862,
Lindóia do Sul (SC),695,0.749,478,0.747,1271,0.636,303,0.865,
Descanso (SC),695,0.747,580,0.741,1068,0.647,581,0.854,
Penha (SC),695,0.749,621,0.739,1193,0.640,257,0.867,
Augusto Pestana (RS),695,0.743,137,0.779,1577,0.621,846,0.847,
Sobradinho (RS),695,0.743,715,0.735,1068,0.647,390,0.861,
Morro Reuter (RS),695,0.743,765,0.733,982,0.653,473,0.858,
Imigrante (RS),695,0.743,241,0.764,1295,0.635,986,0.844,
Capão da Canoa (RS),695,0.743,321,0.756,1248,0.637,643,0.852,
Dois Irmãos (RS),695,0.743,252,0.763,1329,0.633,792,0.848,
Quatro Barras (PR),719,0.745,596,0.740,787,0.665,1603,0.831,
Bom Sucesso do Sul (PR),719,0.745,1449,0.704,416,0.695,1370,0.836,
Dona Emma (SC),719,0.749,266,0.762,1556,0.622,372,0.862,
São Martinho (SC),719,0.746,349,0.754,966,0.654,1647,0.830,
Cunha Porã (SC),719,0.743,532,0.744,560,0.682,2940,0.804,
Ascurra (SC),719,0.748,621,0.739,1271,0.636,238,0.868,
Campos Novos (SC),719,0.747,1008,0.721,898,0.658,390,0.861,
Irani (SC),719,0.746,1166,0.715,648,0.675,846,0.847,
Silveira Martins (RS),719,0.742,532,0.744,1112,0.644,643,0.852,
Vila Flores (RS),719,0.742,918,0.725,1020,0.65,257,0.867,
Cachoeira do Sul (RS),719,0.742,621,0.739,1050,0.648,581,0.854,
Tio Hugo (RS),719,0.742,1318,0.709,560,0.682,943,0.845,
Nova Ramada (RS),719,0.742,375,0.752,1157,0.642,846,0.847,
Agronômica (SC),743,0.751,166,0.774,2045,0.595,55,0.884,
Içara (SC),743,0.746,784,0.732,1097,0.645,390,0.861,
Cotiporã (RS),743,0.741,213,0.767,1271,0.636,1419,0.835,
Pejuçara (RS),743,0.741,937,0.724,1050,0.648,257,0.867,
São Luiz Gonzaga (RS),743,0.741,1091,0.718,802,0.664,551,0.855,
Nova Roma do Sul (RS),743,0.741,66,0.794,1921,0.602,702,0.851,
Araucária (PR),764,0.745,548,0.743,1209,0.639,643,0.852,
Chopinzinho (PR),764,0.743,596,0.740,708,0.671,2307,0.817,
União da Vitória (PR),764,0.743,1217,0.713,581,0.680,1315,0.837,
Sabáudia (PR),764,0.743,1293,0.710,634,0.676,1032,0.843,
Mercedes (PR),764,0.744,1346,0.708,581,0.680,1032,0.843,
Turvo (SC),764,0.747,565,0.742,1370,0.631,257,0.867,
São João Batista (SC),764,0.746,621,0.739,1308,0.634,303,0.865,
Benedito Novo (SC),764,0.745,961,0.723,1097,0.645,238,0.868,
Otacílio Costa (SC),764,0.743,1217,0.713,573,0.681,1419,0.835,
Almirante Tamandaré do Sul (RS),764,0.74,784,0.732,731,0.669,1747,0.828,
Alegrete (RS),764,0.74,1039,0.72,802,0.664,759,0.849,
Arroio do Sal (RS),764,0.74,596,0.74,1032,0.649,986,0.844,
Bagé (RS),764,0.74,621,0.739,1068,0.647,792,0.848,
Santa Clara do Sul (RS),764,0.74,478,0.747,1112,0.644,1032,0.843,
Salvador do Sul (RS),764,0.74,415,0.75,1176,0.641,1032,0.843,
Nova Alvorada (RS),764,0.74,252,0.763,1308,0.634,1281,0.838,
Anta Gorda (RS),764,0.74,565,0.742,1395,0.63,238,0.868,
Santo Inácio (PR),795,0.743,494,0.746,1176,0.641,1032,0.843,
Rolândia (PR),795,0.742,532,0.744,849,0.661,2112,0.821,
Ubiratã (PR),795,0.743,1405,0.706,731,0.669,581,0.854,
Biguaçu (SC),795,0.743,765,0.733,883,0.659,1370,0.836,
Vista Alegre (RS),795,0.739,291,0.76,1370,0.631,1075,0.842,
Ibiaçá (RS),795,0.739,223,0.766,2084,0.593,18,0.888,
São Pedro da Serra (RS),795,0.739,462,0.748,1308,0.634,702,0.851,
Catuípe (RS),795,0.739,252,0.763,1457,0.627,1075,0.842,
Santo Augusto (RS),795,0.739,360,0.753,1248,0.637,1183,0.84,
Bom Retiro do Sul (RS),795,0.739,918,0.725,1032,0.649,501,0.857,
Carlos Gomes (RS),795,0.739,784,0.732,1556,0.622,22,0.886,
São Leopoldo (RS),795,0.739,223,0.766,1727,0.612,390,0.861,
Pelotas (RS),795,0.739,303,0.758,1350,0.632,986,0.844,
Taquaruçu do Sul (RS),795,0.739,202,0.768,1329,0.633,1647,0.83,
São Sebastião do Caí (RS),795,0.739,739,0.734,1082,0.646,643,0.852,
Itaipulândia (PR),823,0.745,137,0.779,1802,0.608,792,0.848,
Pontal do Paraná (PR),823,0.741,665,0.737,945,0.655,1603,0.831,
Corbélia (PR),823,0.739,848,0.728,548,0.683,2805,0.807,
Porecatu (PR),823,0.741,848,0.728,849,0.661,1464,0.834,
Santa Terezinha de Itaipu (PR),823,0.740,1136,0.716,483,0.689,2453,0.814,
Ilhota (SC),823,0.747,415,0.750,1822,0.607,64,0.883,
Ipumirim (SC),823,0.744,478,0.747,1370,0.631,610,0.853,
Barra Velha (SC),823,0.744,715,0.735,1209,0.639,501,0.857,
Meleiro (SC),823,0.740,739,0.734,593,0.679,2754,0.808,
Morro da Fumaça (SC),823,0.741,784,0.732,787,0.665,1905,0.825,
São João do Itaperiú (SC),823,0.744,1190,0.714,1097,0.645,147,0.873,
Rio Negrinho (SC),823,0.742,1293,0.710,738,0.668,792,0.848,
Humaitá (RS),823,0.738,784,0.732,914,0.657,1315,0.837,
Campina das Missões (RS),823,0.738,1649,0.698,620,0.677,759,0.849,
Gaurama (RS),823,0.738,765,0.733,1133,0.643,643,0.852,
Lagoa Vermelha (RS),823,0.738,739,0.734,1593,0.62,40,0.885,
Santo Cristo (RS),823,0.738,494,0.746,930,0.656,2161,0.82,
Luiz Alves (SC),850,0.745,223,0.766,1957,0.600,204,0.870,
Presidente Nereu (SC),850,0.745,232,0.765,1782,0.609,390,0.861,
Palmitos (SC),850,0.742,316,0.757,1350,0.632,1370,0.836,
Ibirama (SC),850,0.742,435,0.749,1395,0.630,792,0.848,
Tangará (SC),850,0.744,462,0.748,1649,0.617,257,0.867,
Guarani das Missões (RS),850,0.737,1649,0.698,787,0.665,343,0.863,
Vale Real (RS),850,0.737,621,0.739,1271,0.636,722,0.85,
